source,fiscal_year,technology_raw,technology,capacity_addition_mw,capacity_addition_gw,retrieved_at_utc,source_url
MNRE year-wise achievement,2014,Wind Power,Wind,21042.58,21.0426,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014-15,Wind Power,Wind,2311.77,2.3118,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2015-16,Wind Power,Wind,3423.05,3.4231,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2016-17,Wind Power,Wind,5502.37,5.5024,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2017-18,Wind Power,Wind,1865.23,1.8652,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2018-19,Wind Power,Wind,1480.97,1.481,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2019-20,Wind Power,Wind,2117.79,2.1178,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2020-21,Wind Power,Wind,1503.3,1.5033,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2021-22,Wind Power,Wind,1110.53,1.1105,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2022-23,Wind Power,Wind,2275.55,2.2755,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2023-24,Wind Power,Wind,3253.38,3.2534,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2024-25,Wind Power,Wind,4151.31,4.1513,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026-27-1st-apr-2026-31st-may2027,Wind Power,Wind,370.74,0.3707,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026,Wind Power,Wind,5680.04,5.68,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014,Solar Power,Solar,2821.91,2.8219,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014-15,Solar Power,Solar,1171.62,1.1716,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2015-16,Solar Power,Solar,3130.36,3.1304,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2016-17,Solar Power,Solar,5658.63,5.6586,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2017-18,Solar Power,Solar,9563.69,9.5637,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2018-19,Solar Power,Solar,6750.97,6.751,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2019-20,Solar Power,Solar,6510.06,6.5101,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2020-21,Solar Power,Solar,5628.8,5.6288,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2021-22,Solar Power,Solar,12760.5,12.7605,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2022-23,Solar Power,Solar,12783.8,12.7838,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2023-24,Solar Power,Solar,15033.24,15.0332,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2024-25,Solar Power,Solar,23832.87,23.8329,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026-27-1st-apr-2026-31st-may2027,Solar Power,Solar,6785.74,6.7857,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026,Solar Power,Solar,157046.44,157.0464,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014,Small Hydro Power,Hydro,3803.68,3.8037,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014-15,Small Hydro Power,Hydro,251.68,0.2517,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2015-16,Small Hydro Power,Hydro,218.11,0.2181,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2016-17,Small Hydro Power,Hydro,106.38,0.1064,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2017-18,Small Hydro Power,Hydro,105.95,0.106,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2018-19,Small Hydro Power,Hydro,107.34,0.1073,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2019-20,Small Hydro Power,Hydro,90.01,0.09,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2020-21,Small Hydro Power,Hydro,103.65,0.1037,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2021-22,Small Hydro Power,Hydro,62.09,0.0621,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2022-23,Small Hydro Power,Hydro,95.4,0.0954,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2023-24,Small Hydro Power,Hydro,58.95,0.059,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2024-25,Small Hydro Power,Hydro,97.3,0.0973,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026-27-1st-apr-2026-31st-may2027,Small Hydro Power,Hydro,0.01,0.0,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026,Small Hydro Power,Hydro,5179.36,5.1794,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014,Biomass (Bagasse) Cogeneration,Bioenergy,7419.23,7.4192,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014-15,Biomass (Bagasse) Cogeneration,Bioenergy,295.67,0.2957,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2015-16,Biomass (Bagasse) Cogeneration,Bioenergy,304.85,0.3049,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2016-17,Biomass (Bagasse) Cogeneration,Bioenergy,161.95,0.1619,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2017-18,Biomass (Bagasse) Cogeneration,Bioenergy,519.1,0.5191,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2018-19,Biomass (Bagasse) Cogeneration,Bioenergy,402.7,0.4027,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2019-20,Biomass (Bagasse) Cogeneration,Bioenergy,97.0,0.097,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2020-21,Biomass (Bagasse) Cogeneration,Bioenergy,173.37,0.1734,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2021-22,Biomass (Bagasse) Cogeneration,Bioenergy,59.69,0.0597,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2024-25,Biomass (Bagasse) Cogeneration,Bioenergy,387.76,0.3878,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026,Biomass (Bagasse) Cogeneration,Bioenergy,9821.32,9.8213,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014,Biomass(Non-bagasse) Cogeneration,Bioenergy,531.82,0.5318,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014-15,Biomass(Non-bagasse) Cogeneration,Bioenergy,60.05,0.06,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2015-16,Biomass(Non-bagasse) Cogeneration,Bioenergy,59.24,0.0592,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2016-17,Biomass(Non-bagasse) Cogeneration,Bioenergy,2.2,0.0022,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2017-18,Biomass(Non-bagasse) Cogeneration,Bioenergy,9.5,0.0095,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2018-19,Biomass(Non-bagasse) Cogeneration,Bioenergy,12.0,0.012,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2020-21,Biomass(Non-bagasse) Cogeneration,Bioenergy,97.24,0.0972,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2022-23,Biomass(Non-bagasse) Cogeneration,Bioenergy,42.4,0.0424,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
