source,source_url,technology_raw,cumulative_mw,cumulative_gw,current_year_addition_mw,current_year_addition_gw,retrieved_at_utc
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Installed RE Capacity (Capacities in MW),,,,,2026-09-10T01:48:58+00:00
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Solar Power*,168040.05,168.04,3445.3,3.4453,2026-09-10T01:48:58+00:00
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Wind Power,58520.32,58.5203,383.43,0.3834,2026-09-10T01:48:58+00:00
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Biomass (Bagasse) Cogeneration,9821.32,9.8213,,,2026-09-10T01:48:58+00:00
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Biomass(non-bagasse)Cogeneration,1047.85,1.0478,,,2026-09-10T01:48:58+00:00
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Waste to Energy,324.24,0.3242,,,2026-09-10T01:48:58+00:00
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Waste to Energy (off-grid),554.16,0.5542,,,2026-09-10T01:48:58+00:00
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Small Hydro Power,5181.76,5.1818,,,2026-09-10T01:48:58+00:00
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Sub Total (Exc. Large Hydro),243489.7,243.4897,3828.73,3.8287,2026-09-10T01:48:58+00:00
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Large Hydro^,52064.67,52.0647,,,2026-09-10T01:48:58+00:00
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Total RE,295554.37,295.5544,3828.73,3.8287,2026-09-10T01:48:58+00:00
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Nuclear Power#,8780.0,8.78,,,2026-09-10T01:48:58+00:00
MNRE physical progress,https://mnre.gov.in/en/physical-progress/,Total Non-Fossil,304334.37,304.3344,3828.73,3.8287,2026-09-10T01:48:58+00:00
