s_no,company_name_developer_operator,project_name,status,district,state,latitude,longitude,end_use,expected_announced_capacity_in_kilo_tonnes_per_annum_ktpa,expected_announced_capacity_electrolyser_capacity_mw,expected_announced_capacity_biomass_waste_feedstock_volume_tpd,completion_year_if_completed_expected_completion_date,source,source_table,source_url,retrieved_at_utc
1,ABC Cleantech Pvt Ltd,ABC Cleantech Karnataka Hydrogen Project,Announced,Karnataka - Mangaluru,Karnataka,12.907586,74.870942,Ammonia production,200,1268.39,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
2,ACME Cleantech Solutions Pvt Ltd,ACME &amp; IHI Gopalpur Hydrogen Project- Phase I (Green Ammonia Project),Under construction,Ganjam,Odisha,19.289195,84.850157,Ammonia,-,447.74,-,2027.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
3,ACME Cleantech Solutions Pvt Ltd,ACME &amp; IHI Gopalpur Hydrogen Project- Phase I (Green Ammonia Project),Under Construction,Odisha,odisha,19.289195,84.850157,Green Ammonia production,70.6,447.74,-,2027.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
4,ACME Cleantech Solutions Pvt Ltd,ACME &amp; IHI Gopalpur Hydrogen Project- Phase II (Green Ammonia Project),Announced,Ganjam,Odisha,19.289195,84.850157,Ammonia,-,895.48,-,2030.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
5,nan,ACME - Green Hydrogen and Green Ammonia Plant Rajasthan,Commissioned,Rajasthan - Bikaner,nan,nan,nan,Fertilizers,314,2.100,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
6,nan,ACME - Green Hydrogen and Green Ammonia Project Karnataka,Announced,Karnataka - Mangaluru,nan,nan,nan,nan,-,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
7,nan,ACME - Green Hydrogen and Green Ammonia Project Tamil Nadu,Announced,Tamil Nadu - Thoothukudi,nan,nan,nan,Green Ammonia,213000,1500.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
8,ACME Cleantech Solutions Pvt Ltd,ACME Bikaner Pilot Hydrogen Plant (Integrated Green Ammonia Project),Commissioned,Bikaner,Rajasthan,27.0238,74.2179,Ammonia,0.32,2.5,-,2021.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
9,nan,ACME Gopalpur Hydrogen Project Phase 2,Planned,Odisha,nan,nan,nan,Green Ammonia,284000,2000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
10,ACME,ACME Group Hydrogen Kendrapara Hydrogen Project,Announced,Kendrapada,Odisha,20.50411221,86.40998012,Methanol,79.27,317.10,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
11,ACME Cleantech Solutions Pvt Ltd,ACME Mangaluru Hydrogen Project (Green Ammonia Project),Announced,Dakshina Kannada,Karnataka,12.915605,74.855965,Ammonia,-,1343.23,-,2027.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
12,ACME Cleantech Solutions Pvt Ltd,ACME Solar Tamil Nadu Hydrogen Project (Green Ammonia Project)- Phase I,Announced,Thoothukudi,Tamil Nadu,8.764166,78.134834,Ammonia,77.31,490.28,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
13,ACME Cleantech Solutions Pvt Ltd,ACME Solar Tamil Nadu Hydrogen Project (Green Ammonia Project)- Phase II,Announced,Thoothukudi,Tamil Nadu,8.764166,78.134834,Ammonia,-,490.28,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
14,ACME Cleantech Solutions Pvt Ltd,ACME Solar Tamil Nadu Hydrogen Project (Green Ammonia Project)- Phase III,Announced,Thoothukudi,Tamil Nadu,8.764166,78.134834,Ammonia,-,490.28,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
15,nan,Adani and Maire Tecnimont - Green Hydrogen Projects JV,Announced,nan,nan,nan,nan,nan,-,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
16,nan,Adani and TotalEnergies - Green Hydrogen Ecosystem,Announced,Gujarat,nan,nan,nan,nan,-,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
17,Adani New Industries Ltd,Adani New Industries (ANIL),Announced,nan,nan,nan,nan,nan,1199.7,7608.45,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
18,Adani New Industries Ltd,Adani New Industries (ANIL) Gujarat Hydrogen Project- Phase I,Announced,Kachchh,Gujarat,22.838802,69.72258,Ammonia,211.8,1343.23,-,2027.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
19,Adani New Industries Ltd,Adani New Industries (ANIL) Gujarat Hydrogen Project- Phase II,Announced,Kachchh,Gujarat,22.838802,69.72258,Ammonia,211.8,1343.23,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
20,Adani New Industries Ltd,Adani New Industries (ANIL) Gujarat Hydrogen Project- Phase III,Announced,Kachchh,Gujarat,22.838802,69.72258,Ammonia,282.4,1790.97,-,2029.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
21,Adani New Industries Ltd,Adani New Industries (ANIL) Gujarat Hydrogen Project- Phase IV,Announced,Kachchh,Gujarat,22.838802,69.72258,Ammonia,282.4,1790.97,-,2030.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
22,Adani New Industries Ltd,Adani New Industries (ANIL) Gujarat Hydrogen Project- Phase V,Announced,Kachchh,Gujarat,22.838802,69.72258,Ammonia,600.1,3805.81,-,2032.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
23,Adani New Industries Ltd,Adani New Industries Limited (off-grid Green H2 pilot project),Commissioned,Kachchh,Gujarat,22.838802,69.72258,Hydrogen,-,5,-,2025.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
24,nan,Aditya Birla - Renewables and Green Hydrogen,Announced,Rajasthan,nan,nan,nan,nan,-,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
25,Aditya Birla Renewables,Aditya Birla Renewables Odisha Green Hydrogen Plant,Announced,Jagatsinghpur,Odisha,20.27458131,86.67439992,Ammonia,17.65,111.94,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
26,Advait Energy/ Haryana City Gas Bhiwadi Private Limited,Advait Energy / Haryana City Gas Bhiwadi Green Hydrogen Project,Announced,Khairthal-Tijara,Rajasthan,28.212387,76.861557,Hydrogen,2,15.00,-,2031.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
27,nan,Advik Hi-Tech and Pure Hydrogen - Hydrogen Supply JV,Announced,nan,nan,nan,nan,Mobility,-,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
28,AM Green,AM Green Ammonia Tuticorin Hydrogen Project,Announced,Thoothukudi,Tamil Nadu,8.776944,78.195107,Ammonia,-,1119.36,-,2027.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
29,nan,AM Green Ammonia Tuticorin Hydrogen Project,Announced,nan,nan,nan,nan,Green Ammonia - Export to Germany,-,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
30,AM Green,AM Green Kakinada Hydrogen- Project I,Under construction,Kakinada,Andhra Pradesh,16.976436,82.27126,Ammonia,176.5,1119.36,-,2026.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
31,AM Green,AM Green Kakinada Hydrogen- Project II,Announced,Kakinada,Andhra Pradesh,16.976436,82.27126,Ammonia,176.5,1119.36,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
32,AM Green,AM Green Kandla Project,Announced,Kachchh,Gujarat,23.000271,70.220884,Ammonia,264.75,1679.03,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
33,AM Green,AM Green Mangalore Project,Announced,Dakshina Kannada,Karnataka,12.8708,74.8441,Ammonia,176.5,1119.36,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
34,AM Green,AM Green Una Hydrogen Project,Announced,Una,Himachal Pradesh,31.4685,76.2708,Ammonia,17.65,140.00,-,2029.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
