dataset,file_name,row_count,refreshed_at_utc
annual_re_capacity_addition,annual_re_capacity_addition.csv,14,2026-05-25T02:09:59+00:00
cea_report_links,cea_report_links.csv,0,2026-05-25T02:09:59+00:00
mnre_annual_re_additions_raw,mnre_annual_re_additions_raw.csv,99,2026-05-25T02:09:59+00:00
mnre_physical_progress_raw,mnre_physical_progress_raw.csv,13,2026-05-25T02:09:59+00:00
nghm_green_hydrogen_projects,nghm_green_hydrogen_projects.csv,307,2026-05-25T02:09:59+00:00
nsgm_smart_meters_rendered_tables,nsgm_smart_meters_rendered_tables.csv,36,2026-05-25T02:09:59+00:00
nsgm_smart_meters_visible_text,nsgm_smart_meters_visible_text.csv,72,2026-05-25T02:09:59+00:00
pm_kusum_rendered_tables,pm_kusum_rendered_tables.csv,0,2026-05-25T02:09:59+00:00
pm_kusum_visible_text,pm_kusum_visible_text.csv,0,2026-05-25T02:09:59+00:00
pm_surya_ghar_rendered_tables,pm_surya_ghar_rendered_tables.csv,0,2026-05-25T02:09:59+00:00
pm_surya_ghar_visible_text,pm_surya_ghar_visible_text.csv,0,2026-05-25T02:09:59+00:00
re_cagr_summary,re_cagr_summary.csv,1,2026-05-25T02:09:59+00:00
re_installed_capacity_technology,re_installed_capacity_technology.csv,4,2026-05-25T02:09:59+00:00
refresh_manifest,refresh_manifest.csv,14,2026-05-25T02:09:59+00:00
